es_fan,tiempo_fanatico,redes_sociales_artistas_favoritos,importancia_artista_redes,factores_seguir_artista_redes,factores_dejar_seguir_artista_redes,compra_productos,asistencia_eventos
1,5,,0.0000,"No aplica","Sin motivos",0.0000,0.0000
1,5,"Facebook, Youtube, X",3.0000,"Me gusta su música","Nada en realidad ",1.0000,0.0000
1,5,Instagram,3.0000,"Me gusta su música","Que traten mal a sus fans",0.0000,1.0000
1,5,Instagram,2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Por las dinámicas o concursos que realizan","que me deje de gustar su música ",0.0000,0.0000
1,5,Instagram,2.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Por que no son activos o por que me dejo de interesar ",0.0000,1.0000
1,5,Instagram,2.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que no saquen música ",0.0000,0.0000
1,5,"Instagram, Facebook",2.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","El contenido ",0.0000,0.0000
1,5,"Instagram, Facebook, Youtube",4.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Deje de subir contenido, de involucre en causas sociales, meta política ",1.0000,1.0000
1,5,"Instagram, Facebook, Youtube",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades","Falta de constancia o malos trabajos que se alejen de sus trabajos originales de forma abrupta y forzada para encajar en los medios nuevos de musica",1.0000,1.0000
1,5,"Instagram, Facebook, Youtube",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que suba cosas poco interesantes o que no tengan nada que ver con su contenido original, como chismes, quejas, etc.",1.0000,1.0000
1,5,"Instagram, Facebook, Youtube, Spotify ",2.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Para estar informada sobre sus conciertos, anuncios sobre sus giras","Ya no le gusta su música, le parece aburrido su nuevo estilo, ",1.0000,0.0000
1,5,"Instagram, Facebook, Youtube, X",2.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Dejan de interesarme. ",0.0000,0.0000
1,5,"Instagram, Facebook, Youtube, X",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que empiece a hablar mucho de política ",0.0000,1.0000
1,5,"Instagram, Tik Tok",2.0000,"Me gusta su música","Que cambié su estilo de música",0.0000,0.0000
1,5,"Instagram, Tik Tok",0.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan",Polemicas,0.0000,1.0000
1,5,"Instagram, Tik Tok",4.0000,"Me gusta su música, Me interesa su vida personal","Sin motivos",0.0000,1.0000
1,5,"Instagram, Tik Tok",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Valores que no vayan conmigo ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook",4.0000,"Me gusta su música","Que sean poco humildes ",0.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube",4.0000,"Me gusta su música","Sus actitudes ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que me aburra",1.0000,0.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Su malo contenido en las nuevas musicasmusicas",1.0000,0.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Contenido aburrido",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, Twitch",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Por las dinámicas o concursos que realizan","Sin motivos",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Controversias o escándalos ",1.0000,0.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que promueva algún mensaje de odio o discriminación ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que deje de hacer música o que ya no suba nada ",0.0000,0.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Su forma de actuar y ser",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Sin motivos",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Inactividad ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",0.0000,"Me gusta su música, Quiero estar al día con sus novedades","Desinterés en el producto ",0.0000,1.0000
